country,capital hint,capital hint:de,capital hint:es,capital hint:fr,capital hint:nb,capital hint:cs,capital hint:ru,capital hint:nl,capital hint:sv,capital hint:pt,capital hint:zh,capital hint:pl,capital hint:it
Pitcairn Islands,,,,,,,,,,,,,
Cocos (Keeling) Islands,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,
Norfolk Island,Not a sovereign country,Kein souveräner Staat,No es un país soberano,Pas une nation souveraine,Ikke selvstendig land,,,,,,,,
Montserrat,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,
Saint Barthélemy,,,,,,,,,,,,,
Ceuta,,,,,,,,,,,,,
Melilla,,,,,,,,,,,,,
Galápagos Islands,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,
Sint Eustatius,Special municipality,Besondere Gemeinde,Es un municipio especial,Commune à statut particulier,Kommune med særstatus,,,,,,,,
Easter Island,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,
British Indian Ocean Territory,,,,,,,,,,,,,
Mount Athos,,,,,,,,,,,,,
ABC islands,,,,,,,,,,,,,
Suez Canal,,,,,,,,,,,,,
Panama Canal,,,,,,,,,,,,,
Kiel Canal,,,,,,,,,,,,,
Saint Lawrence Seaway,,,,,,,,,,,,,
Grand Canal,,,,,,,,,,,,,
White Sea-Baltic Canal,,,,,,,,,,,,,
Rhine-Main-Danube Canal,,,,,,,,,,,,,
Volga-Don Canal,,,,,,,,,,,,,
Houston Ship Channel,,,,,,,,,,,,,
Danube-Black Sea Canal,,,,,,,,,,,,,
Manchester Ship Canal,,,,,,,,,,,,,
Welland Canal,,,,,,,,,,,,,
Mount Everest,,,,,,,,,,,,,
K2,,,,,,,,,,,,,
Aconcagua,,,,,,,,,,,,,
Ojos del Salado,,,,,,,,,,,,,
Denali,,,,,,,,,,,,,
Mount Logan,,,,,,,,,,,,,
Kilimanjaro,,,,,,,,,,,,,
Mount Kenya,,,,,,,,,,,,,
Mount Elbrus,,,,,,,,,,,,,
Dykh-Tau,,,,,,,,,,,,,
Puncak Jaya,,,,,,,,,,,,,
Puncak Mandala,,,,,,,,,,,,,
,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,
Sint Maarten,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,
Cayman Islands,Not a sovereign country,Kein souveräner Staat,No es un país soberano,Pas une nation souveraine,Ikke selvstendig land,,,,,,,,
Guernsey,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,
Azores,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,
Madeira,,,,,,,,,,,,,
Corsica,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,
Sardinia,,,,,,,,,,,,,
Sicily,,,,,,,,,,,,,
Zanzibar,,,,,,,,,,,,,
Canary Islands,,,,,,,,,,,,,
Guadeloupe,Not a sovereign country,Kein souveräner Staat,No es un país soberano,Pas une nation souveraine,Ikke selvstendig land,,,,,,,,
Réunion,,,,,,,,,,,,,
Kaliningrad Oblast,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,
Bali,,,,,,,,,,,,,
